Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (26069418),Connor McDavid,26069418,C/UTIL,9800,EDM@CGY 12/27/2022 09:00PM ET,EDM,21.05
RW,David Pastrnak (26069682),David Pastrnak,26069682,W/UTIL,9300,BOS@OTT 12/27/2022 07:00PM ET,BOS,19.88
C,Auston Matthews (26069420),Auston Matthews,26069420,C/UTIL,9100,TOR@STL 12/27/2022 08:00PM ET,TOR,17.38
C,Tage Thompson (26069422),Tage Thompson,26069422,C/UTIL,8800,BUF@CLS 12/27/2022 07:30PM ET,BUF,19.94
D,Roman Josi (26070244),Roman Josi,26070244,D/UTIL,8700,DAL@NSH 12/27/2022 08:00PM ET,NSH,18.24
LW,Kirill Kaprizov (26069684),Kirill Kaprizov,26069684,W/UTIL,8600,MIN@WPG 12/27/2022 08:00PM ET,MIN,16.94
LW,Alex Ovechkin (26069686),Alex Ovechkin,26069686,W/UTIL,8500,WAS@NYR 12/27/2022 07:00PM ET,WAS,16.72
G,Pyotr Kochetkov (26070694),Pyotr Kochetkov,26070694,G,8500,CHI@CAR 12/27/2022 07:00PM ET,CAR,16.05
C,Nathan MacKinnon (26069424),Nathan MacKinnon,26069424,C/UTIL,8500,COL@ARI 12/27/2022 09:00PM ET,COL,19.44
G,Linus Ullmark (26070695),Linus Ullmark,26070695,G,8400,BOS@OTT 12/27/2022 07:00PM ET,BOS,18.47
LW,Jason Robertson (26069688),Jason Robertson,26069688,W/UTIL,8400,DAL@NSH 12/27/2022 08:00PM ET,DAL,17.83
G,Antti Raanta (26070696),Antti Raanta,26070696,G,8300,CHI@CAR 12/27/2022 07:00PM ET,CAR,9.43
G,Matt Murray (26070697),Matt Murray,26070697,G,8300,TOR@STL 12/27/2022 08:00PM ET,TOR,17.49
LW,Leon Draisaitl (26069690),Leon Draisaitl,26069690,W/UTIL,8300,EDM@CGY 12/27/2022 09:00PM ET,EDM,16.97
G,Jeremy Swayman (26070699),Jeremy Swayman,26070699,G,8200,BOS@OTT 12/27/2022 07:00PM ET,BOS,9.62
G,Alexandar Georgiev (26070698),Alexandar Georgiev,26070698,G,8200,COL@ARI 12/27/2022 09:00PM ET,COL,17.58
LW,Brady Tkachuk (26069692),Brady Tkachuk,26069692,W/UTIL,8100,BOS@OTT 12/27/2022 07:00PM ET,OTT,15.32
G,Craig Anderson (26070701),Craig Anderson,26070701,G,8100,BUF@CLS 12/27/2022 07:30PM ET,BUF,17.38
G,Ilya Samsonov (26070700),Ilya Samsonov,26070700,G,8100,TOR@STL 12/27/2022 08:00PM ET,TOR,15.25
G,Jake Oettinger (26070702),Jake Oettinger,26070702,G,8100,DAL@NSH 12/27/2022 08:00PM ET,DAL,14.55
G,Scott Wedgewood (26070703),Scott Wedgewood,26070703,G,8100,DAL@NSH 12/27/2022 08:00PM ET,DAL,13.28
G,Tristan Jarry (26070706),Tristan Jarry,26070706,G,8000,PIT@NYI 12/27/2022 07:30PM ET,PIT,18.02
RW,Mikko Rantanen (26069694),Mikko Rantanen,26069694,W/UTIL,8000,COL@ARI 12/27/2022 09:00PM ET,COL,17.18
G,Pavel Francouz (26070704),Pavel Francouz,26070704,G,8000,COL@ARI 12/27/2022 09:00PM ET,COL,14.8
G,Logan Thompson (26070705),Logan Thompson,26070705,G,8000,VGK@LA 12/27/2022 10:30PM ET,VGK,15.58
G,Ukko-Pekka Luukkonen (26070710),Ukko-Pekka Luukkonen,26070710,G,7900,BUF@CLS 12/27/2022 07:30PM ET,BUF,11.46
G,Connor Hellebuyck (26070709),Connor Hellebuyck,26070709,G,7900,MIN@WPG 12/27/2022 08:00PM ET,WPG,18.29
LW,Timo Meier (26069696),Timo Meier,26069696,W/UTIL,7900,SJ@VAN 12/27/2022 10:00PM ET,SJ,15.93
G,Spencer Martin (26070707),Spencer Martin,26070707,G,7900,SJ@VAN 12/27/2022 10:00PM ET,VAN,10.16
G,Collin Delia (26070708),Collin Delia,26070708,G,7900,SJ@VAN 12/27/2022 10:00PM ET,VAN,15.1
G,Igor Shesterkin (26070714),Igor Shesterkin,26070714,G,7800,WAS@NYR 12/27/2022 07:00PM ET,NYR,14.88
G,Casey DeSmith (26070713),Casey DeSmith,26070713,G,7800,PIT@NYI 12/27/2022 07:30PM ET,PIT,14.38
G,Stuart Skinner (26070712),Stuart Skinner,26070712,G,7800,EDM@CGY 12/27/2022 09:00PM ET,EDM,14.58
D,Erik Karlsson (26070246),Erik Karlsson,26070246,D/UTIL,7800,SJ@VAN 12/27/2022 10:00PM ET,SJ,15.56
G,Adin Hill (26070711),Adin Hill,26070711,G,7800,VGK@LA 12/27/2022 10:30PM ET,VGK,12.28
G,David Rittich (26070715),David Rittich,26070715,G,7700,MIN@WPG 12/27/2022 08:00PM ET,WPG,11.99
RW,Valeri Nichushkin (26069698),Valeri Nichushkin,26069698,W/UTIL,7700,COL@ARI 12/27/2022 09:00PM ET,COL,13.7
G,Charlie Lindgren (26070716),Charlie Lindgren,26070716,G,7600,WAS@NYR 12/27/2022 07:00PM ET,WAS,13.51
G,Darcy Kuemper (26070717),Darcy Kuemper,26070717,G,7600,WAS@NYR 12/27/2022 07:00PM ET,WAS,13.33
G,Jaroslav Halak (26070721),Jaroslav Halak,26070721,G,7600,WAS@NYR 12/27/2022 07:00PM ET,NYR,8.09
C,Sidney Crosby (26069426),Sidney Crosby,26069426,C/UTIL,7600,PIT@NYI 12/27/2022 07:30PM ET,PIT,14.71
LW,Kyle Connor (26069700),Kyle Connor,26069700,W/UTIL,7600,MIN@WPG 12/27/2022 08:00PM ET,WPG,14.24
G,Jacob Markstrom (26070718),Jacob Markstrom,26070718,G,7600,EDM@CGY 12/27/2022 09:00PM ET,CGY,10.12
G,Dan Vladar (26070719),Dan Vladar,26070719,G,7600,EDM@CGY 12/27/2022 09:00PM ET,CGY,11.71
G,Jack Campbell (26070720),Jack Campbell,26070720,G,7600,EDM@CGY 12/27/2022 09:00PM ET,EDM,9.48
RW,Mats Zuccarello (26069702),Mats Zuccarello,26069702,W/UTIL,7500,MIN@WPG 12/27/2022 08:00PM ET,MIN,13.26
G,Marc-Andre Fleury (26070723),Marc-Andre Fleury,26070723,G,7500,MIN@WPG 12/27/2022 08:00PM ET,MIN,11.72
G,Filip Gustavsson (26070724),Filip Gustavsson,26070724,G,7500,MIN@WPG 12/27/2022 08:00PM ET,MIN,14.39
D,Cale Makar (26070248),Cale Makar,26070248,D/UTIL,7500,COL@ARI 12/27/2022 09:00PM ET,COL,13.62
C,Bo Horvat (26069428),Bo Horvat,26069428,C/UTIL,7500,SJ@VAN 12/27/2022 10:00PM ET,VAN,14.67
G,James Reimer (26070722),James Reimer,26070722,G,7500,SJ@VAN 12/27/2022 10:00PM ET,SJ,12.77
LW,Jake Guentzel (26069704),Jake Guentzel,26069704,W/UTIL,7400,PIT@NYI 12/27/2022 07:30PM ET,PIT,13.26
G,Ilya Sorokin (26070725),Ilya Sorokin,26070725,G,7400,PIT@NYI 12/27/2022 07:30PM ET,NYI,15.08
C,Jack Eichel (26069430),Jack Eichel,26069430,C/UTIL,7400,VGK@LA 12/27/2022 10:30PM ET,VGK,15.16
G,Jonathan Quick (26070726),Jonathan Quick,26070726,G,7400,VGK@LA 12/27/2022 10:30PM ET,LA,9.34
G,Pheonix Copley (26070727),Pheonix Copley,26070727,G,7400,VGK@LA 12/27/2022 10:30PM ET,LA,15.16
C,Mika Zibanejad (26069432),Mika Zibanejad,26069432,C/UTIL,7300,WAS@NYR 12/27/2022 07:00PM ET,NYR,14.37
D,John Carlson (26070250),John Carlson,26070250,D/UTIL,7300,WAS@NYR 12/27/2022 07:00PM ET,WAS,14.78
G,Joonas Korpisalo (26070728),Joonas Korpisalo,26070728,G,7300,BUF@CLS 12/27/2022 07:30PM ET,CLS,11.86
G,Daniil Tarasov (26070729),Daniil Tarasov,26070729,G,7300,BUF@CLS 12/27/2022 07:30PM ET,CLS,11.54
RW,William Nylander (26069706),William Nylander,26069706,W/UTIL,7300,TOR@STL 12/27/2022 08:00PM ET,TOR,14.36
G,Juuse Saros (26070730),Juuse Saros,26070730,G,7300,DAL@NSH 12/27/2022 08:00PM ET,NSH,14.22
G,Kevin Lankinen (26070731),Kevin Lankinen,26070731,G,7300,DAL@NSH 12/27/2022 08:00PM ET,NSH,14.97
G,Kaapo Kahkonen (26070732),Kaapo Kahkonen,26070732,G,7300,SJ@VAN 12/27/2022 10:00PM ET,SJ,7.74
LW,Alex DeBrincat (26069708),Alex DeBrincat,26069708,W/UTIL,7200,BOS@OTT 12/27/2022 07:00PM ET,OTT,12.99
G,Cory Schneider (26070734),Cory Schneider,26070734,G,7200,PIT@NYI 12/27/2022 07:30PM ET,NYI,0
G,Karel Vejmelka (26070733),Karel Vejmelka,26070733,G,7200,COL@ARI 12/27/2022 09:00PM ET,ARI,14.98
C,Elias Pettersson (26069434),Elias Pettersson,26069434,C/UTIL,7200,SJ@VAN 12/27/2022 10:00PM ET,VAN,15.86
C,Patrice Bergeron (26069436),Patrice Bergeron,26069436,C/UTIL,7100,BOS@OTT 12/27/2022 07:00PM ET,BOS,12.40
LW,Brad Marchand (26069710),Brad Marchand,26069710,W/UTIL,7100,BOS@OTT 12/27/2022 07:00PM ET,BOS,11.52
G,Jordan Binnington (26070735),Jordan Binnington,26070735,G,7100,TOR@STL 12/27/2022 08:00PM ET,STL,11.15
G,Thomas Greiss (26070736),Thomas Greiss,26070736,G,7100,TOR@STL 12/27/2022 08:00PM ET,STL,13.41
G,Cam Talbot (26070738),Cam Talbot,26070738,G,7000,BOS@OTT 12/27/2022 07:00PM ET,OTT,12.04
G,Anton Forsberg (26070739),Anton Forsberg,26070739,G,7000,BOS@OTT 12/27/2022 07:00PM ET,OTT,11.93
C,Roope Hintz (26069438),Roope Hintz,26069438,C/UTIL,7000,DAL@NSH 12/27/2022 08:00PM ET,DAL,12.86
RW,Zach Hyman (26069712),Zach Hyman,26069712,W/UTIL,7000,EDM@CGY 12/27/2022 09:00PM ET,EDM,14.42
LW,Evander Kane (26069714),Evander Kane,26069714,W/UTIL,7000,EDM@CGY 12/27/2022 09:00PM ET,EDM,13.49
G,Connor Ingram (26070737),Connor Ingram,26070737,G,7000,COL@ARI 12/27/2022 09:00PM ET,ARI,7.49
G,Petr Mrazek (26070740),Petr Mrazek,26070740,G,6900,CHI@CAR 12/27/2022 07:00PM ET,CHI,7.09
G,Alex Stalock (26070741),Alex Stalock,26070741,G,6900,CHI@CAR 12/27/2022 07:00PM ET,CHI,13.08
D,Rasmus Dahlin (26070252),Rasmus Dahlin,26070252,D/UTIL,6900,BUF@CLS 12/27/2022 07:30PM ET,BUF,15.88
RW,Mitchell Marner (26069716),Mitchell Marner,26069716,W/UTIL,6900,TOR@STL 12/27/2022 08:00PM ET,TOR,12.8
C,Nazem Kadri (26069440),Nazem Kadri,26069440,C/UTIL,6900,EDM@CGY 12/27/2022 09:00PM ET,CGY,11.47
RW,Patrik Laine (26069718),Patrik Laine,26069718,W/UTIL,6800,BUF@CLS 12/27/2022 07:30PM ET,CLS,12.82
C,John Tavares (26069442),John Tavares,26069442,C/UTIL,6800,TOR@STL 12/27/2022 08:00PM ET,TOR,12.53
RW,Jordan Kyrou (26069720),Jordan Kyrou,26069720,W/UTIL,6800,TOR@STL 12/27/2022 08:00PM ET,STL,14.19
RW,Alex Tuch (26069724),Alex Tuch,26069724,W/UTIL,6700,BUF@CLS 12/27/2022 07:30PM ET,BUF,12.95
C,Joel Eriksson Ek (26069444),Joel Eriksson Ek,26069444,C/UTIL,6700,MIN@WPG 12/27/2022 08:00PM ET,MIN,11.97
RW,Jonathan Marchessault (26069722),Jonathan Marchessault,26069722,W/UTIL,6700,VGK@LA 12/27/2022 10:30PM ET,VGK,11.39
C,Sebastian Aho (26069446),Sebastian Aho,26069446,C/UTIL,6600,CHI@CAR 12/27/2022 07:00PM ET,CAR,12.28
LW,Johnny Gaudreau (26069726),Johnny Gaudreau,26069726,W/UTIL,6600,BUF@CLS 12/27/2022 07:30PM ET,CLS,11.40
C,Mark Scheifele (26069448),Mark Scheifele,26069448,C/UTIL,6600,MIN@WPG 12/27/2022 08:00PM ET,WPG,11.65
RW,Nikolaj Ehlers (26069728),Nikolaj Ehlers,26069728,W/UTIL,6600,MIN@WPG 12/27/2022 08:00PM ET,WPG,13.4
D,Alex Pietrangelo (26070254),Alex Pietrangelo,26070254,D/UTIL,6600,VGK@LA 12/27/2022 10:30PM ET,VGK,13.53
G,Keith Kinkaid (26070747),Keith Kinkaid,26070747,G,6500,BOS@OTT 12/27/2022 07:00PM ET,BOS,23.5
G,Kevin Mandolese (26070764),Kevin Mandolese,26070764,G,6500,BOS@OTT 12/27/2022 07:00PM ET,OTT,0
G,Hunter Shepard (26070749),Hunter Shepard,26070749,G,6500,WAS@NYR 12/27/2022 07:00PM ET,WAS,0
G,Zach Fucale (26070750),Zach Fucale,26070750,G,6500,WAS@NYR 12/27/2022 07:00PM ET,WAS,0
D,Brent Burns (26070256),Brent Burns,26070256,D/UTIL,6500,CHI@CAR 12/27/2022 07:00PM ET,CAR,11.22
G,Arvid Soderblom (26070743),Arvid Soderblom,26070743,G,6500,CHI@CAR 12/27/2022 07:00PM ET,CHI,9.57
G,Jaxson Stauber (26070744),Jaxson Stauber,26070744,G,6500,CHI@CAR 12/27/2022 07:00PM ET,CHI,0
G,Frederik Andersen (26070753),Frederik Andersen,26070753,G,6500,CHI@CAR 12/27/2022 07:00PM ET,CAR,9.79
LW,Jeff Skinner (26069730),Jeff Skinner,26069730,W/UTIL,6500,BUF@CLS 12/27/2022 07:30PM ET,BUF,14.25
G,Elvis Merzlikins (26070745),Elvis Merzlikins,26070745,G,6500,BUF@CLS 12/27/2022 07:30PM ET,CLS,5.58
